sample,total_seeded_s,mean_c,seeded_ruderal_s,seeded_matrix_s,seeded_conservative_s,seeded_forb_s,seeded_grass_s,seeded_sedge_s,seeded_legume_s,seeded_an_s,seeded_bienn_s,seeded_perenn_s,mix
2017_01,7,3.7142857142857144,3,4,0,3,0,3,1,0,0,7,1_2
2017_02,5,4,1,4,0,3,0,2,0,0,0,5,1_2
2018_01,27,4.111111111111111,7,20,0,16,6,2,3,2,2,23,1_2
2018_02,7,3.857142857142857,2,5,0,5,0,2,0,1,0,6,1_2
2019_01,31,4.129032258064516,8,23,0,18,7,3,3,2,3,26,1_2
2019_02,8,3.75,4,4,0,6,1,1,0,0,2,6,1_2
present_1_2,93,4.774193548387097,18,66,9,66,13,7,6,3,3,86,1_2
tot_1_2_2017,10,3.7,4,6,0,6,0,3,1,0,0,10,1_2
tot_1_2_2018,31,4.064516129032258,8,23,0,19,6,3,3,2,2,27,1_2
tot_1_2_2019,35,4.057142857142857,10,25,0,21,8,3,3,2,3,30,1_2
tot_seeded_1_2_2018,27,4.111111111111111,7,20,0,16,6,2,3,2,2,23,1_2
tot_seeded_1_2_2019,31,4.129032258064516,8,23,0,18,7,3,3,2,3,26,1_2
tot_non_seeded_1_2_2018,7,3.857142857142857,2,5,0,5,0,2,0,1,0,6,1_2
tot_non_seeded_1_2_2019,8,3.75,4,4,0,6,1,1,0,0,2,6,1_2
2017_03,4,4.5,1,3,0,0,2,1,1,0,0,4,3_6
2017_04,10,3.6,5,5,0,5,1,3,0,1,1,7,3_6
2017_05,3,3.3333333333333335,2,1,0,0,1,1,1,0,0,3,3_6
2017_06,0,NA,0,0,0,0,0,0,0,0,0,0,3_6
2018_03,20,4.2,4,15,1,10,8,1,1,0,2,18,3_6
2018_04,22,3.9545454545454546,9,12,1,11,6,3,1,1,2,18,3_6
2018_05,11,3.8181818181818183,4,7,0,7,2,2,0,2,1,8,3_6
2018_06,6,3.5,3,3,0,3,1,2,0,1,0,5,3_6
2019_03,27,4.222222222222222,5,21,1,15,8,3,0,0,2,24,3_6
2019_04,28,4,9,18,1,15,7,3,1,0,2,24,3_6
2019_05,14,3.357142857142857,8,6,0,10,1,2,1,2,3,9,3_6
2019_06,3,3,2,1,0,1,0,1,0,0,0,2,3_6
present_3_6,81,4.62962962962963,19,51,11,53,14,9,2,4,3,71,3_6
tot_3_6_2017,13,3.769230769230769,6,7,0,5,3,3,1,1,1,10,3_6
tot_3_6_2018,33,3.878787878787879,12,20,1,20,8,3,1,2,3,27,3_6
tot_3_6_2019,38,4.026315789473684,12,25,1,23,9,3,1,2,3,31,3_6
tot_seeded_3_6_2018,28,4,9,18,1,15,8,3,1,1,2,24,3_6
tot_seeded_3_6_2019,34,4.117647058823529,9,24,1,19,9,3,1,0,2,30,3_6
tot_non_seeded_3_6_2018,14,3.7857142857142856,5,9,0,8,3,3,0,2,1,11,3_6
tot_non_seeded_3_6_2019,15,3.3333333333333335,9,6,0,10,1,2,1,2,3,9,3_6
2017_07,1,3,1,0,0,0,0,1,0,0,0,1,7_10
2017_08,1,3,1,0,0,0,0,1,0,0,0,1,7_10
2017_09,2,4,1,1,0,1,1,0,0,0,0,2,7_10
2017_10,3,4,1,2,0,0,1,1,1,1,0,2,7_10
2018_07,3,3.3333333333333335,2,1,0,2,0,1,0,1,0,2,7_10
2018_08,12,4.666666666666667,3,7,2,5,5,1,1,1,1,10,7_10
2018_09,3,4,2,1,0,1,1,1,0,0,0,3,7_10
2018_10,15,4.2,6,7,2,9,4,1,1,2,1,12,7_10
2019_07,4,4.25,1,3,0,2,2,0,0,1,0,3,7_10
2019_08,16,4.3125,5,9,2,8,6,2,0,1,1,14,7_10
2019_09,2,3.5,1,1,0,1,1,0,0,0,0,2,7_10
2019_10,14,4.428571428571429,5,7,2,7,5,1,1,1,1,12,7_10
present_7_10,79,5.113924050632911,21,41,17,49,10,15,2,6,3,67,7_10
tot_7_10_2017,4,3.75,2,2,0,1,1,1,1,1,0,3,7_10
tot_7_10_2018,16,4.25,6,8,2,9,5,1,1,2,1,13,7_10
tot_7_10_2019,22,4.181818181818182,8,12,2,12,7,2,1,3,1,18,7_10
tot_seeded_7_10_2018,16,4.25,6,8,2,9,5,1,1,2,1,13,7_10
tot_seeded_7_10_2019,20,4.2,7,11,2,10,7,2,1,2,1,17,7_10
tot_non_seeded_7_10_2018,5,3.8,3,2,0,3,1,1,0,1,0,4,7_10
tot_non_seeded_7_10_2019,6,4,2,4,0,3,3,0,0,1,0,5,7_10
